"","ensembl_gene_id","hgnc_symbol","chromosome_name","entrezgene"
"1","ENSG00000210049","MT-TF","MT",NA
"2","ENSG00000211459","MT-RNR1","MT",NA
"3","ENSG00000210077","MT-TV","MT",NA
"4","ENSG00000210082","MT-RNR2","MT",NA
"5","ENSG00000209082","MT-TL1","MT",NA
"6","ENSG00000198888","MT-ND1","MT",4535
"7","ENSG00000210100","MT-TI","MT",NA
"8","ENSG00000210107","MT-TQ","MT",NA
"9","ENSG00000210112","MT-TM","MT",NA
"10","ENSG00000198763","MT-ND2","MT",4536
"11","ENSG00000210117","MT-TW","MT",NA
"12","ENSG00000210127","MT-TA","MT",NA
"13","ENSG00000210135","MT-TN","MT",NA
"14","ENSG00000210140","MT-TC","MT",NA
"15","ENSG00000210144","MT-TY","MT",NA
"16","ENSG00000198804","MT-CO1","MT",4512
"17","ENSG00000210151","MT-TS1","MT",NA
"18","ENSG00000210154","MT-TD","MT",NA
"19","ENSG00000198712","MT-CO2","MT",4513
"20","ENSG00000210156","MT-TK","MT",NA
"21","ENSG00000228253","MT-ATP8","MT",4509
"22","ENSG00000198899","MT-ATP6","MT",4508
"23","ENSG00000198938","MT-CO3","MT",4514
"24","ENSG00000210164","MT-TG","MT",NA
"25","ENSG00000198840","MT-ND3","MT",4537
"26","ENSG00000210174","MT-TR","MT",NA
"27","ENSG00000212907","MT-ND4L","MT",4539
"28","ENSG00000198886","MT-ND4","MT",4538
"29","ENSG00000210176","MT-TH","MT",NA
"30","ENSG00000210184","MT-TS2","MT",NA
"31","ENSG00000210191","MT-TL2","MT",NA
"32","ENSG00000198786","MT-ND5","MT",4540
"33","ENSG00000198695","MT-ND6","MT",4541
"34","ENSG00000210194","MT-TE","MT",NA
"35","ENSG00000198727","MT-CYB","MT",4519
"36","ENSG00000210195","MT-TT","MT",NA
"37","ENSG00000210196","MT-TP","MT",NA
"38","ENSG00000236235","","22",NA
"39","ENSG00000250584","LINC01511","5",100506791
"40","ENSG00000235895","","Y",NA
"41","ENSG00000239989","","22",NA
